,name,nb_reviews,location,rating,header,content,date,responded,response_date,response,company
0,Sherry Angel,1,US,1,Bad Bad Bad Company,"I booked a villa through this company, found a family in the house when we arrived at 10:00 pm at night after a long flight. The owner overbooked and the company barely helped us. 

Do not use this site.",2021-04-20 05:57:52+00:00,0,,-,booking.com
1,David,1,US,1,I cancelled my reservation and booking.com never refunded my fees,"If I could give them a negative 5 star review, I would do it. I cancelled my reservation with the hotel in advance, the hotel sent us a statement stating that the reservation was cancelled. I called booking.com and talked to the customer service agent and manager. They said that they were not refunding my money. According to them, it was the hotel's fault even though it was booking.com that charged my card. I called them so many times to get my money back and they said that there was nothing they could do and that i should be the one dealing with the hotel to get my money back. Never ever book with them or their associate third party websites, pay a little more and book straight with the hotel. This company is awful and disgraceful.",2021-04-20 01:40:14+00:00,0,,-,booking.com
2,Alexander Santos,1,US,1,Terrible experience with this website,"Terrible experience with this website. I made a reservation for 2 rooms in one hotel in Florida, when I arrived they have just one room, I am already fighting for get my money back. Customer service is awful, I have spent three days back and for with them always asking for a new ""required"" info. Avoid book here",2021-04-19 19:26:11+00:00,0,,-,booking.com
3,G May,27,GB,1,BUY ANYWHERE ELSE,Booked a holiday...took my money.  Then a few days later tell me the price was too low and ask for more.  Then they cancel my booking and leave me with flights and car hire all booked with cancellation fees.  Disgraceful,2021-04-18 21:19:41+00:00,0,,-,booking.com
4,Lee Mac,3,GB,1,Avoid Booking.com,"I would just like to take the time to warn everyone reading this that booking.com does not vet any of its hosts, or inspect the Authenticity & accuracy of the hosts photos and descriptions.  We all know that business is pretty desperate out there. But stealing money from people is unforgivable. Non-refundable means non-refundable, no matter what. I arrived at a complete slum and recieved no help . 30 years travelling and I have never experienced such a flagrant disregard for Customers.",2021-04-18 19:11:58+00:00,0,,-,booking.com
5,customer,3,GB,1,Arrived to find the hotel had closed down!,"Booking.com took a booking for a hotel, (The Schooner, Alnmouth), that looked like it had been closed for weeks and the phone number was unobtainable. I received confirmation emails and a supposed message from the hotel, yet no communication from booking.com or the venue since. Having found myself on the streets 320 miles from home I find it hard to envisage a scenario where I would ever use booking.com again.",2021-04-17 20:10:21+00:00,0,,-,booking.com
6,Savina Duran,1,US,1,WARNING!! DO NOT book hotel reservations with Booking. com/Suiteness!!,"WARNING!!! DO NOT use suiteness at Booking.com(Las Vegas). Their website is inaccurate and the rates are incorrect.  I booked a suite at Mandalay Bay for $1400.00 total for 2 nights and received an immediate confirmation. I later reached out to suiteness, because somthing did not feel right about this reservation!!  I'm not sure what prompted me to call but I was genuinely concerned I had been scammed. I called contact number on their website..no answer so I LVM!! I recieved a call back from Jenna.. she explained there had been a huge rate increase, triple increase @ 1800.00 a night 3600.00 for two nights!!! If I didn't pay this I would have to cancel. They proceeded to blame the Mandalay Bay Resort and Casino over and over and asked that I reach out to them as they would possibly authorize the first rate of $1400.00...lies,lies!! I wasted more time!! EventuallyJenna/Kate admitted they were responsible, and explained the lose they would endure if Booking.com authorized this rate/room at $1400.00 for two nights!! I wasted so much time and lost out on legitimate room rates. DO NOT USE THEM. I promise, you will be sorry. BOOKING.COM SUITENESS....DON'T DO IT.",2021-04-17 02:10:57+00:00,0,,-,booking.com
7,tib kuk,1,GB,1,booking.com canceled our booking after…,booking.com canceled our booking after hotel started to ask for double the room rate even that booking was already confirmed for several weeks .. so basically they literally kicked us out so they can resale for double the price!! completely ruined family summer holiday as now all the other hotels either sold out or out of price range .. completely disgusting customer care,2021-04-16 21:04:00+00:00,0,,-,booking.com
8,Wendy Lapeyrolerie,1,US,1,I had to leave a room I booked after…,I had to leave a room I booked after only 2 hours because of the neighbors and their noise. The hotel admitted that they hadn’t done their job by asking us to just ‘put a towel’ under the adjoining door and stated that they were going to work with booking to get us refunded. That was 2 days ago. The charge has remained on my card and no one will respond to my requests for an update. They even removed my post about the hotel and their admitted Unprofessionalism.,2021-04-16 20:16:22+00:00,0,,-,booking.com
9,Anthony Shaw,19,GB,2,'Small print' means you could lose your cash...,"Booking.com just took 2 hours of my life from me.
Tried to make a straight forward family hotel booking through them.

After making the booking, the hotel sent me an email saying they are only accepting ""key worker"" reservations, which I am not. I did book as 2 adults, 2 children, not business. 

Took me 2 hours of emails, online messaging, and finally a phone call to get the refund, despite the hotel confirming their ""Key Worker"" requirement. Booking.com didn't want to give me a refund.

Booking.com said there were mentions in the 'small print' of the booking. Where? No idea. Shouldn't be in the 'small print', the family reservation should not have been taken at all from the start.
I stay in hotel almost every week, won't be using Booking.com again.

Give me my 2 hours back!! Shmucks.",2021-04-16 10:29:54+00:00,0,,-,booking.com
